method,testcase,nconf,nunique,time
mtd,csd_OHIFAM,104,104,603.7154829148203
mtd,csd_KAQJAN,203,203,602.482719508931
mtd,pdb_1NT1,190,190,602.3918526191264
mtd,pdb_3DV1,154,154,602.3400166835636
mtd,pdb_2VZM,135,135,602.6093381084502
mtd,pdb_3DV5,139,139,602.6441652085632
mtd,csd_GIHKOX10,57,57,605.8904166836292
mtd,pdb_1QPL,63,63,605.5770981237292
mtd,csd_CHPSAR,196,196,602.4908499475569
mtd,csd_GAFSEL,232,232,602.327710269019
mtd,csd_ACICOE,70,70,604.0625363327563
mtd,pdb_1QPF,61,61,605.1125508304685
mtd,csd_PAPGAP,199,199,602.516749067232
mtd,csd_BIDPIN10,162,162,602.7897447627038
mtd,csd_VAKPIH,96,96,603.4541102126241
mtd,csd_VALINM30,50,50,606.3747744038701
mtd,csd_CYVIHV10,88,88,603.1263638287783
mtd,pdb_1ESV,241,241,602.2696099579334
mtd,pdb_1TPS,56,56,605.2299865502864
mtd,pdb_3ABA,106,106,603.0622236058116
mtd,pdb_1NSG,57,57,604.5952772442251
mtd,csd_COHVAW,198,198,602.8820550385863
mtd,csd_CALSAR,326,326,602.1249816827476
mtd,csd_DEKSAN,35,35,606.6474983468652
mtd,csd_ZAJDUJ,33,33,607.1495070103556
mtd,pdb_2QZK,159,159,602.9561953041703
mtd,pdb_1WUA,42,42,606.1345663946122
mtd,pdb_1SKX,105,105,603.3304255492985
mtd,pdb_1KEG,67,67,604.5470116790384
mtd,csd_CIYKUR,110,110,603.0510398931801
mtd,pdb_2C7X,137,137,602.8827842827886
mtd,pdb_3EKS,163,163,602.6058125384152
mtd,pdb_1BXO,117,117,602.8877054322511
mtd,csd_AAGGAG10,292,292,602.2080117240548
mtd,csd_IDIMAJ,89,89,604.1761715058237
mtd,pdb_1MRL,94,94,603.3462422322482
mtd,pdb_2WEA,161,161,602.7391383778304
mtd,csd_FIXYEQ,156,156,602.5359564460814
mtd,csd_CAMVES01,196,196,602.4872493315488
mtd,pdb_3BXR,104,104,603.1843197066337
mtd,csd_VUHHEM,151,151,602.7290208023041
mtd,csd_QUDRIQ,162,162,602.4346983544528
mtd,csd_YUYYEW,285,285,602.0988491792232
mtd,csd_MUCYIT,202,202,602.4159312620759
mtd,pdb_1PFE,60,60,607.3369443472475
mtd,pdb_1A7X,64,64,605.3383469283581
mtd,csd_HEBLIJ,92,92,603.2736260760576
mtd,csd_HIKPAS01,372,372,602.042781189084
mtd,csd_FINWEE10,72,72,603.9393205270171
mtd,pdb_1JFF,78,78,604.1184113826603
mtd,csd_CIYLAY,109,109,603.059308513999
mtd,pdb_3M6G,79,79,603.5455487705767
mtd,csd_WENFOL,81,81,603.9497695304453
mtd,csd_POXTRD10,564,564,601.9782560430467
mtd,csd_HAXMOI10,53,53,605.7590698953718
mtd,pdb_3KEE,109,109,603.5116969570518
mtd,pdb_1OSF,112,112,602.8357883580029
mtd,pdb_1QZ5,65,65,604.3705956153572
mtd,csd_QEKNID,61,61,604.4158795773983
mtd,pdb_2XBK,112,112,603.3580357842147
mtd,pdb_1QZ6,80,80,603.7515378948301
mtd,pdb_1NMK,88,88,603.5385001786053
mtd,csd_BIHYAS10,122,122,602.9202701132745
mtd,pdb_2VYP,28,28,608.9500545077026
mtd,csd_CAZVEF,426,426,602.0182573590428
mtd,csd_OHIDUE,109,109,603.3262525554746
mtd,csd_RUQVAB,174,174,602.5639638565481
mtd,pdb_1EHL,198,198,602.4395654071122
mtd,pdb_3I6O,130,130,602.9643847215921
mtd,csd_WUMKIY,154,154,602.6344866268337
mtd,pdb_2ASP,59,59,604.639907727018
mtd,csd_DIGTOC,78,78,603.3117304425687
mtd,pdb_1BZL,104,104,603.2257427666336
mtd,pdb_2ASO,54,54,605.6846499890089
mtd,pdb_2ASM,56,56,604.8276763558388
mtd,csd_TERDAW,99,99,603.2216117680073
mtd,csd_VOKBIG,39,39,607.0601066146046
mtd,csd_YAGVEH,99,99,603.3174776248634
mtd,csd_RECRAT,162,162,602.9334458056837
mtd,csd_NUCZUH,74,74,603.9390231594443
mtd,csd_XACJAM,90,90,604.0797231774777
mtd,pdb_1GHG,60,60,605.6723704114556
mtd,pdb_1XBP,135,135,602.645912995562
mtd,pdb_1YND,50,50,605.7100708819926
mtd,csd_ICYSPA,35,35,607.491469450295
mtd,csd_XAGXIN,287,287,602.0982469301671
mtd,csd_FAGFEZ,113,113,603.3906561080366
mtd,csd_YIVNOG,81,81,603.8201328460127
mtd,csd_REMCOC,210,210,602.414997112006
mtd,pdb_1KHR,179,179,602.6987781170756
mtd,csd_VOLHOU,146,146,602.7834462281317
mtd,pdb_1E9W,30,30,611.7199846152216
mtd,csd_CTVHVH01,37,37,606.3802664484829
mtd,csd_CGPGAP10,292,292,602.1443405710161
mtd,csd_QOSNAN,102,102,603.8695690892637
mtd,pdb_2IYA,92,92,603.2110259812325
mtd,pdb_1S22,104,104,603.0959958732128
mtd,pdb_1NTK,158,158,602.5094890315086
mtd,pdb_2DG4,62,62,605.1499080248177
mtd,pdb_2IYF,77,77,603.3347161393613
mtd,csd_JINWUZ,122,122,603.1192067973316
mtd,pdb_2F3E,103,103,603.03527812846
mtd,pdb_2F3F,155,155,602.4719232469797
mtd,pdb_1FKD,73,73,603.9481713734567
mtd,pdb_2OTJ,126,126,602.8483941722661
mtd,pdb_1FKL,62,62,604.5422999337316
mtd,pdb_1FKI,191,191,602.4049580190331
mtd,csd_CLPGDH,112,112,603.1874298360199
mtd,pdb_1FKJ,71,71,604.8288756590337
mtd,csd_GEZBUI,111,111,602.7580910678953
mtd,csd_KAQJER,157,157,602.6295839399099
mtd,csd_WUBGAB,83,83,603.8639362696558
