method,testcase,nconf,nunique,time
rdkit,csd_OHIFAM,1493,1493,600.5948874335736
rdkit,csd_KAQJAN,4984,4982,600.0756439175457
rdkit,pdb_1NT1,3822,3815,600.1003148499876
rdkit,pdb_3DV1,2960,2960,600.1723784487695
rdkit,pdb_2VZM,2124,2124,600.0570431370288
rdkit,pdb_3DV5,2362,2362,600.178401876241
rdkit,csd_GIHKOX10,560,560,601.591532856226
rdkit,pdb_1QPL,577,577,601.3215754274279
rdkit,csd_CHPSAR,4251,4251,600.014386465773
rdkit,csd_GAFSEL,6704,6704,600.0593631844968
rdkit,csd_ACICOE,848,848,600.6607994847
rdkit,pdb_1QPF,576,576,600.2075786199421
rdkit,csd_PAPGAP,3922,3844,600.1123540755361
rdkit,csd_BIDPIN10,2007,2006,603.4042095113546
rdkit,csd_VAKPIH,1232,1232,600.6462703160942
rdkit,csd_VALINM30,367,367,600.0437403060496
rdkit,csd_CYVIHV10,1284,1284,600.3152607027441
rdkit,pdb_1ESV,5386,5334,600.1234542168677
rdkit,pdb_1TPS,502,502,600.5295317266136
rdkit,pdb_3ABA,1484,1484,600.133653704077
rdkit,pdb_1NSG,564,564,600.4824765753001
rdkit,csd_COHVAW,3534,3520,600.1251755375415
rdkit,csd_CALSAR,9000,7594,600.074531763792
rdkit,csd_DEKSAN,228,228,600.3373688030988
rdkit,csd_ZAJDUJ,210,210,602.1149410437793
rdkit,pdb_2QZK,2819,2815,600.088559102267
rdkit,pdb_1WUA,338,338,604.1967900022864
rdkit,pdb_1SKX,1219,1219,600.2342105843127
rdkit,pdb_1KEG,747,747,600.520946148783
rdkit,csd_CIYKUR,1304,1304,600.4217353705317
rdkit,pdb_2C7X,2118,2118,600.2570001557469
rdkit,pdb_3EKS,2836,2829,600.3015280198306
rdkit,pdb_1BXO,1907,1907,600.3359353188425
rdkit,csd_AAGGAG10,8243,8222,600.0390476882458
rdkit,csd_IDIMAJ,1250,1250,600.091484323144
rdkit,pdb_1MRL,1438,1438,600.3672927562147
rdkit,pdb_2WEA,3457,3431,600.1701925117522
rdkit,csd_FIXYEQ,2658,2658,600.0797038860619
rdkit,csd_CAMVES01,3712,3711,600.1678154878318
rdkit,pdb_3BXR,1201,1201,600.1507300697267
rdkit,csd_VUHHEM,3236,3235,600.2360754068941
rdkit,csd_QUDRIQ,3607,3607,600.1365439482033
rdkit,csd_YUYYEW,7680,7660,600.0717213284224
rdkit,csd_MUCYIT,4860,4110,600.1193449441344
rdkit,pdb_1PFE,554,554,601.007200403139
rdkit,pdb_1A7X,620,620,600.036436419934
rdkit,csd_HEBLIJ,1158,1158,600.5270502865314
rdkit,csd_HIKPAS01,11343,5243,600.0557596962899
rdkit,csd_FINWEE10,885,885,600.5041939839721
rdkit,pdb_1JFF,296,296,602.1465402394533
rdkit,csd_CIYLAY,1237,1237,600.0869295764714
rdkit,pdb_3M6G,852,852,600.4009682480246
rdkit,csd_WENFOL,1474,1474,600.3565959390253
rdkit,csd_POXTRD10,24455,20847,600.0492775626481
rdkit,csd_HAXMOI10,464,464,600.316293803975
rdkit,pdb_3KEE,1603,1603,600.2065059039742
rdkit,pdb_1OSF,1614,1614,600.3724878653884
rdkit,pdb_1QZ5,594,594,600.2705039735883
rdkit,csd_QEKNID,501,501,600.806033147499
rdkit,pdb_2XBK,1726,1726,600.3562383875251
rdkit,pdb_1QZ6,885,885,600.1864207368344
rdkit,pdb_1NMK,1269,1269,600.5314783044159
rdkit,csd_BIHYAS10,1624,1624,600.1084395926446
rdkit,pdb_2VYP,163,163,602.3969513457268
rdkit,csd_CAZVEF,14840,12789,600.5722998697311
rdkit,csd_OHIDUE,1656,1656,600.1731757298112
rdkit,csd_RUQVAB,4064,3913,600.1674808859825
rdkit,pdb_1EHL,4665,4654,600.0453278589994
rdkit,pdb_3I6O,1834,1834,600.1574840862304
rdkit,csd_WUMKIY,3597,3597,600.1075867209584
rdkit,pdb_2ASP,557,557,600.9790736883879
rdkit,csd_DIGTOC,1069,1069,600.4587450828403
rdkit,pdb_1BZL,1504,1504,600.2992718070745
rdkit,pdb_2ASO,465,465,600.8524055052549
rdkit,pdb_2ASM,474,474,600.649385124445
rdkit,csd_TERDAW,1479,1479,600.663730500266
rdkit,csd_VOKBIG,279,279,601.3147752396762
rdkit,csd_YAGVEH,1234,1234,600.4473461359739
rdkit,csd_RECRAT,4041,3698,600.0392937567085
rdkit,csd_NUCZUH,935,935,600.0483670402318
rdkit,csd_XACJAM,1349,1349,600.3795791175216
rdkit,pdb_1GHG,497,497,600.1246583517641
rdkit,pdb_1XBP,2451,2451,600.0811053942889
rdkit,pdb_1YND,330,330,600.1137016136199
rdkit,csd_ICYSPA,229,229,602.1322579495609
rdkit,csd_XAGXIN,7585,7425,600.0360075291246
rdkit,csd_FAGFEZ,1661,1661,600.3006293345243
rdkit,csd_YIVNOG,1071,1071,600.3655014690012
rdkit,csd_REMCOC,4365,2656,600.1145706083626
rdkit,pdb_1KHR,3299,3261,600.1144014429301
rdkit,csd_VOLHOU,3331,3331,600.0186091326177
rdkit,pdb_1E9W,215,215,600.8412944469601
rdkit,csd_CTVHVH01,275,275,600.7179186455905
rdkit,csd_CGPGAP10,7697,6887,600.5571920592338
rdkit,csd_QOSNAN,1778,1778,600.2758899852633
rdkit,pdb_2IYA,1156,1156,600.2604642212391
rdkit,pdb_1S22,1661,1661,600.1691455114633
rdkit,pdb_1NTK,3478,3478,600.1559508163482
rdkit,pdb_2DG4,497,497,601.1794528923929
rdkit,pdb_2IYF,941,941,600.2138271722943
rdkit,csd_JINWUZ,1886,1886,600.1706070266664
rdkit,pdb_2F3E,1553,1553,600.1346487943083
rdkit,pdb_2F3F,2938,2938,600.0872236397117
rdkit,pdb_1FKD,877,877,600.1144166365266
rdkit,pdb_2OTJ,1928,1928,600.2990222126245
rdkit,pdb_1FKL,499,499,600.3644060436636
rdkit,pdb_1FKI,3828,3828,600.1530743408948
rdkit,csd_CLPGDH,1793,1793,600.3799701500684
rdkit,pdb_1FKJ,889,889,600.5832176245749
rdkit,csd_GEZBUI,1759,1759,600.2243132200092
rdkit,csd_KAQJER,3326,3326,600.115948503837
rdkit,csd_WUBGAB,986,986,600.0925933476537
rdkit,csd_ABOJOR,3115,2975,600.0375019349158
rdkit,pdb_2PH8,4200,3812,600.984476774931
rdkit,csd_QUDROW,2647,2647,600.086927479133
rdkit,csd_RULSUN,932,932,600.0265108607709
rdkit,csd_DAFGIA,3533,917,600.1626420263201
rdkit,csd_CUQRUB,208,208,602.5439338684082
rdkit,pdb_1XS7,1046,1046,600.340839734301
rdkit,csd_LALWIF,6280,552,600.0965126920491
rdkit,csd_XAGXOT,3138,3105,601.7341460101306
rdkit,csd_JOKSAD,9404,9325,600.0752653777599
rdkit,csd_CAHWEN,1797,1797,600.1936482489109
rdkit,csd_MECBOL,13652,13453,600.0464904569089
rdkit,csd_DALPUC,2331,2330,600.1039524264634
rdkit,csd_NITFEB,4824,4810,600.047233812511
rdkit,csd_YAGKOG,305,305,601.7070803120732
rdkit,pdb_2C6H,2854,2854,600.1491231918335
rdkit,pdb_2GPL,1996,1996,600.2932790424675
rdkit,pdb_1PKF,4474,4474,600.0731990672648
rdkit,pdb_1PPJ,3500,3496,600.1286553889513
rdkit,pdb_1YXQ,151,151,600.2639256287366
rdkit,csd_RASTIO,8687,8647,600.0274952724576
rdkit,pdb_3K5C,2451,2451,600.310510341078
rdkit,csd_MALVAL10,938,938,600.5801345594227
rdkit,pdb_2WHW,4541,4541,600.1110189203173
rdkit,csd_ABOMOT,522,522,600.9975764844567
rdkit,csd_DACMAW,1797,1797,600.0927806049585
rdkit,pdb_1YET,2085,2079,600.1957723330706
rdkit,csd_MIWTER,1235,1235,600.9806477613747
rdkit,pdb_7UPJ,5001,4085,600.0737835429609
rdkit,csd_YUPBAN01,309,309,600.3506365604699
rdkit,pdb_1NWX,987,987,600.4938385244459
rdkit,csd_FEGJAD,2036,2036,600.1690194886178
rdkit,csd_KIVDIC,2315,2315,600.1473008990288
rdkit,csd_XAGYAG,4091,3942,600.4284208789468
rdkit,csd_OHUXEU,982,982,600.447317654267
rdkit,csd_CTILIH10,290,290,601.0306967329234
rdkit,csd_FIVSAE,5870,5557,600.040474044159
rdkit,pdb_2Q0R,728,728,600.2507264968008
