method,testcase,nconf,nunique,time
ringoMCR,csd_OHIFAM,4164,4164,200.5259635914117
ringoMCR,csd_KAQJAN,4936,4936,200.14639423787594
ringoMCR,pdb_1NT1,9266,9266,200.08740154467523
ringoMCR,pdb_3DV1,10000,10000,136.59202476218343
ringoMCR,pdb_2VZM,8204,8204,200.10130533576012
ringoMCR,pdb_3DV5,6532,6532,200.12439729459584
ringoMCR,csd_GIHKOX10,156,156,200.57968778535724
ringoMCR,pdb_1QPL,759,759,200.40712658315897
ringoMCR,csd_CHPSAR,5136,5136,200.13964710384607
ringoMCR,csd_GAFSEL,10000,10000,197.16761756129563
ringoMCR,csd_ACICOE,1890,1890,200.43419298529625
ringoMCR,pdb_1QPF,556,556,200.42294686287642
ringoMCR,csd_PAPGAP,9334,9334,200.1157839242369
ringoMCR,csd_BIDPIN10,10000,10000,125.19023028947413
ringoMCR,csd_VAKPIH,4266,4266,200.55825057253242
ringoMCR,csd_VALINM30,82,82,200.80843505263329
ringoMCR,csd_CYVIHV10,1576,1576,200.3788928128779
ringoMCR,pdb_1ESV,10004,10000,111.53501307033002
ringoMCR,pdb_1TPS,160,160,200.3329464457929
ringoMCR,pdb_3ABA,7255,7255,200.31624330580235
ringoMCR,pdb_1NSG,348,348,200.51451949216425
ringoMCR,csd_COHVAW,10000,10000,119.78789592161775
ringoMCR,csd_CALSAR,10000,10000,93.81676743924618
ringoMCR,csd_DEKSAN,11,11,201.56177463009953
ringoMCR,csd_ZAJDUJ,3,3,201.79474008083344
ringoMCR,pdb_2QZK,3689,3689,200.16004381887615
ringoMCR,pdb_1WUA,273,273,200.8015878368169
ringoMCR,pdb_1SKX,8345,8345,200.2494314275682
ringoMCR,pdb_1KEG,3645,3645,200.66584454663098
ringoMCR,csd_CIYKUR,620,620,207.93870773166418
ringoMCR,pdb_2C7X,7387,7387,200.09014943428338
ringoMCR,pdb_3EKS,9297,9287,200.1079296581447
ringoMCR,pdb_1BXO,2958,2958,200.35063559003174
ringoMCR,csd_AAGGAG10,10000,10000,110.57889254577458
ringoMCR,csd_IDIMAJ,5432,5432,200.4589999616146
ringoMCR,pdb_1MRL,2827,2827,200.42843784950674
ringoMCR,pdb_2WEA,4591,4591,200.13512731343508
ringoMCR,csd_FIXYEQ,10000,10000,146.54001293331385
ringoMCR,csd_CAMVES01,10000,10000,126.46932598017156
ringoMCR,pdb_3BXR,3744,3744,200.30883402749896
ringoMCR,csd_VUHHEM,3116,3116,200.2134836241603
ringoMCR,csd_QUDRIQ,7691,7691,200.2844345793128
ringoMCR,csd_YUYYEW,10000,10000,196.26403140835464
ringoMCR,csd_MUCYIT,4650,4650,200.0916229709983
ringoMCR,pdb_1PFE,1671,1671,200.44735883548856
ringoMCR,pdb_1A7X,851,851,200.82777755893767
