method,testcase,nconf,nunique,time
ringoMC,csd_OHIFAM,4253,4253,200.6189581155777
ringoMC,csd_KAQJAN,5035,5035,200.11580902338028
ringoMC,pdb_1NT1,9471,9471,200.11703339219093
ringoMC,pdb_3DV1,10000,10000,141.54231340810657
ringoMC,pdb_2VZM,8161,8161,200.11024543829262
ringoMC,pdb_3DV5,6603,6603,200.13365635089576
ringoMC,csd_GIHKOX10,19,19,200.59197964519262
ringoMC,pdb_1QPL,623,623,200.41734095290303
ringoMC,csd_CHPSAR,5206,5206,200.20135638676584
ringoMC,csd_GAFSEL,10000,10000,192.0100731626153
ringoMC,csd_ACICOE,1764,1764,200.41621946915984
ringoMC,pdb_1QPF,437,437,200.4221146814525
ringoMC,csd_PAPGAP,9536,9536,200.09754995256662
ringoMC,csd_BIDPIN10,10000,10000,122.11493759788573
ringoMC,csd_VAKPIH,4253,4253,200.56863141991198
ringoMC,csd_VALINM30,7,7,200.81698726676404
ringoMC,csd_CYVIHV10,1287,1287,200.36788696050644
ringoMC,pdb_1ESV,10003,10000,109.07846502028406
ringoMC,pdb_1TPS,74,74,200.33915399201214
ringoMC,pdb_3ABA,4435,4435,200.31965121999383
ringoMC,pdb_1NSG,294,294,200.59000157751143
ringoMC,csd_COHVAW,10000,10000,120.16431202739477
ringoMC,csd_CALSAR,10000,10000,90.19966145046055
ringoMC,csd_DEKSAN,1,1,201.59459345974028
ringoMC,csd_ZAJDUJ,0,0,201.79533338174224
ringoMC,pdb_2QZK,3761,3761,200.134295752272
ringoMC,pdb_1WUA,113,113,200.79816318117082
ringoMC,pdb_1SKX,7314,7314,200.24753851071
ringoMC,pdb_1KEG,3683,3683,200.7084827274084
ringoMC,csd_CIYKUR,620,620,207.83502025157213
ringoMC,pdb_2C7X,7273,7273,200.09177261590958
ringoMC,pdb_3EKS,9359,9354,200.08806264214218
ringoMC,pdb_1BXO,3010,3010,200.36935022845864
ringoMC,csd_AAGGAG10,10000,10000,104.61017543449998
ringoMC,csd_IDIMAJ,5515,5515,200.6706913560629
ringoMC,pdb_1MRL,2828,2828,200.34914066828787
ringoMC,pdb_2WEA,4612,4612,200.13799382187426
ringoMC,csd_FIXYEQ,10000,10000,147.0557409785688
ringoMC,csd_CAMVES01,10000,10000,122.7662545144558
ringoMC,pdb_3BXR,2161,2161,200.26861298829317
ringoMC,csd_VUHHEM,3142,3142,200.26434028334916
ringoMC,csd_QUDRIQ,7914,7914,200.24692497961223
ringoMC,csd_YUYYEW,10000,10000,188.2353553827852
ringoMC,csd_MUCYIT,4798,4798,200.1304028686136
ringoMC,pdb_1PFE,162,162,200.45796741731465
ringoMC,pdb_1A7X,734,734,201.65522551722825
ringoMC,csd_HEBLIJ,1522,1522,200.6235839035362
ringoMC,csd_HIKPAS01,14746,10000,109.96535122953355
ringoMC,csd_FINWEE10,1113,1113,200.29067359119654
ringoMC,pdb_1JFF,2327,2327,200.37624369747937
ringoMC,csd_CIYLAY,639,639,207.82767088152468
ringoMC,pdb_3M6G,2504,2504,200.2944460939616
ringoMC,csd_WENFOL,1589,1589,200.47362278960645
ringoMC,csd_POXTRD10,10000,10000,74.6863236837089
ringoMC,csd_HAXMOI10,79,79,203.61584528908134
ringoMC,pdb_3KEE,4202,4202,200.21407507546246
ringoMC,pdb_1OSF,5719,5719,200.19336933083832
ringoMC,pdb_1QZ5,55,55,200.52767531760037
ringoMC,csd_QEKNID,601,601,200.47027090005577
ringoMC,pdb_2XBK,3445,3445,200.28100350499153
ringoMC,pdb_1QZ6,188,188,200.40278827026486
ringoMC,pdb_1NMK,5216,5216,200.23465615138412
ringoMC,csd_BIHYAS10,6053,6053,200.13432995602489
ringoMC,pdb_2VYP,10,10,202.22087413817644
ringoMC,csd_CAZVEF,7868,7868,200.0385624282062
ringoMC,csd_OHIDUE,6017,6017,200.7014995571226
ringoMC,csd_RUQVAB,9206,9206,200.14750731550157
ringoMC,pdb_1EHL,438577,392,200.1865461487323
ringoMC,pdb_3I6O,6010,6010,200.18063041567802
ringoMC,csd_WUMKIY,8112,8112,200.07487895339727
ringoMC,pdb_2ASP,911,911,200.47972604446113
ringoMC,csd_DIGTOC,4866,4866,200.45409708283842
ringoMC,pdb_1BZL,683,683,201.26110074669123
ringoMC,pdb_2ASO,313,313,200.49435256794095
ringoMC,pdb_2ASM,839,839,200.54210994392633
ringoMC,csd_TERDAW,1348,1348,200.59566570818424
ringoMC,csd_VOKBIG,2,2,200.9367873556912
ringoMC,csd_YAGVEH,3993,3993,200.38966751657426
ringoMC,csd_RECRAT,4663,4663,200.2004365120083
ringoMC,csd_NUCZUH,2473,2473,200.3288430273533
ringoMC,csd_XACJAM,1807,1807,200.43771379254758
ringoMC,pdb_1GHG,174,174,200.56903194077313
ringoMC,pdb_1XBP,9563,9563,200.11288475617766
ringoMC,pdb_1YND,349,349,200.72607889957726
ringoMC,csd_ICYSPA,1,1,204.48633873648942
ringoMC,csd_XAGXIN,10000,10000,185.62001521140337
ringoMC,csd_FAGFEZ,7283,7283,200.2176708355546
ringoMC,csd_YIVNOG,1766,1766,200.52585951797664
ringoMC,csd_REMCOC,7029,7024,200.0980744175613
ringoMC,pdb_1KHR,9189,9189,200.23505272343755
ringoMC,csd_VOLHOU,8385,8385,200.10399991087615
ringoMC,pdb_1E9W,77,77,201.33786477707326
ringoMC,csd_CTVHVH01,1,1,200.92485710419714
ringoMC,csd_CGPGAP10,10000,10000,95.80549778975546
ringoMC,csd_QOSNAN,2962,2962,200.21833780780435
ringoMC,pdb_2IYA,563,563,200.18674629554152
ringoMC,pdb_1S22,4663,4663,200.26452017202973
ringoMC,pdb_1NTK,8829,8829,200.08307542838156
ringoMC,pdb_2DG4,422,422,200.46533009037375
ringoMC,pdb_2IYF,177,177,200.1966839618981
ringoMC,csd_JINWUZ,3886,3886,200.19794472679496
ringoMC,pdb_2F3E,3236,3236,200.34803033992648
ringoMC,pdb_2F3F,8226,8226,200.09059590101242
ringoMC,pdb_1FKD,1044,1044,200.29211282357574
ringoMC,pdb_2OTJ,8252,8252,200.13482656888664
ringoMC,pdb_1FKL,592,592,200.46604653075337
ringoMC,pdb_1FKI,9609,9609,200.11830014176667
ringoMC,csd_CLPGDH,2070,2070,200.3600047584623
ringoMC,pdb_1FKJ,1058,1058,200.29044737294316
ringoMC,csd_GEZBUI,4521,4521,200.18639029748738
ringoMC,csd_KAQJER,2447,2447,200.26109418831766
ringoMC,csd_WUBGAB,759,759,200.9250152464956
ringoMC,csd_ABOJOR,4384,4384,200.31620141118765
ringoMC,pdb_2PH8,4056,4056,200.1594238691032
ringoMC,csd_QUDROW,7518,7518,200.37221050448716
ringoMC,csd_RULSUN,1464,1464,200.27367655932903
ringoMC,csd_DAFGIA,4665,4665,200.16475488245487
ringoMC,csd_CUQRUB,0,0,201.41067980788648
ringoMC,pdb_1XS7,2393,2393,200.43568539991975
ringoMC,csd_LALWIF,10392,9760,200.2169446554035
ringoMC,csd_XAGXOT,5146,5146,200.0988012161106
ringoMC,csd_JOKSAD,10000,10000,83.00252693705261
ringoMC,csd_CAHWEN,2085,2085,200.42002385109663
ringoMC,csd_MECBOL,10000,10000,161.3006905131042
ringoMC,csd_DALPUC,3002,3002,200.2082073353231
ringoMC,csd_NITFEB,10000,10000,175.55479599162936
ringoMC,csd_YAGKOG,10,10,201.44967217184603
ringoMC,pdb_2C6H,8975,8975,200.07163237780333
ringoMC,pdb_2GPL,2960,2960,200.24835166335106
ringoMC,pdb_1PKF,8854,8854,200.09316818974912
ringoMC,pdb_1PPJ,8950,8950,200.1013651639223
ringoMC,pdb_1YXQ,1,1,201.87925785779953
ringoMC,csd_RASTIO,10000,10000,187.8243889566511
ringoMC,pdb_3K5C,6419,6419,200.1694763880223
ringoMC,csd_MALVAL10,457,457,201.3149009887129
ringoMC,pdb_2WHW,7264,7264,200.06553241983056
ringoMC,csd_ABOMOT,388,388,208.67583469487727
ringoMC,csd_DACMAW,3790,3790,200.23022963106632
ringoMC,pdb_1YET,8444,8444,200.13104050420225
ringoMC,csd_MIWTER,2311,2311,200.29651929438114
ringoMC,pdb_7UPJ,4990,4990,200.15525046549737
ringoMC,csd_YUPBAN01,7,7,200.86210175976157
ringoMC,pdb_1NWX,1153,1153,203.55814619734883
ringoMC,csd_FEGJAD,3060,3060,200.36812314018607
ringoMC,csd_KIVDIC,4474,4474,200.2062287144363
ringoMC,csd_XAGYAG,4927,4927,200.1023103352636
ringoMC,csd_OHUXEU,2299,2299,200.29384493269026
ringoMC,csd_CTILIH10,5,5,201.29645893909037
ringoMC,csd_FIVSAE,9738,9738,200.07201814837754
ringoMC,pdb_2Q0R,10000,10000,180.75221115350723
