method,testcase,nconf,nunique,time
ringointel,csd_OHIFAM,7001,7001,600.8195988021325
ringointel,csd_KAQJAN,8195,8195,600.2201251620427
ringointel,pdb_1NT1,10000,10000,255.99809108511545
ringointel,pdb_3DV1,10000,10000,160.86568359006196
ringointel,pdb_2VZM,10000,10000,338.7525270059705
ringointel,pdb_3DV5,10000,10000,510.92434471007437
ringointel,csd_GIHKOX10,274,274,600.831823826069
ringointel,pdb_1QPL,1796,1796,600.5694243561011
ringointel,csd_CHPSAR,8536,8536,600.1921764120925
ringointel,csd_GAFSEL,10000,10000,217.65290249604732
ringointel,csd_ACICOE,3492,3492,600.5746186820325
ringointel,pdb_1QPF,1278,1278,600.5855443789624
ringointel,csd_PAPGAP,10000,10000,252.5955145561602
ringointel,csd_BIDPIN10,10000,10000,134.20600492996164
ringointel,csd_VAKPIH,7065,7065,600.8306273990311
ringointel,csd_VALINM30,157,157,601.09320376697
ringointel,csd_CYVIHV10,2796,2796,600.471443845192
ringointel,pdb_1ESV,10005,10000,127.33992625586689
ringointel,pdb_1TPS,391,391,600.5044648079202
ringointel,pdb_3ABA,10000,10000,351.9068031050265
ringointel,pdb_1NSG,794,794,600.667173871072
ringointel,csd_COHVAW,10000,10000,136.65598733909428
ringointel,csd_CALSAR,10000,10000,107.2860211620573
ringointel,csd_DEKSAN,26,26,602.280130708823
ringointel,csd_ZAJDUJ,4,4,603.967535961885
ringointel,pdb_2QZK,6249,6249,600.168173893122
ringointel,pdb_1WUA,510,510,601.0719817790668
ringointel,pdb_1SKX,10000,10000,324.24637512210757
ringointel,pdb_1KEG,6304,6304,600.8635682270397
ringointel,csd_CIYKUR,1067,1067,612.1969720919151
ringointel,pdb_2C7X,10000,10000,405.5451269450132
ringointel,pdb_3EKS,10005,10000,237.47603232995607
ringointel,pdb_1BXO,5059,5059,600.4653512118384
ringointel,csd_AAGGAG10,10000,10000,120.32691793004051
ringointel,csd_IDIMAJ,9473,9473,600.6940115711186
ringointel,pdb_1MRL,4879,4879,600.5928748080041
ringointel,pdb_2WEA,7690,7690,600.268797770841
ringointel,csd_FIXYEQ,10000,10000,166.85466937790625
ringointel,csd_CAMVES01,10000,10000,139.34639245993458
ringointel,pdb_3BXR,6522,6522,600.4454734339379
ringointel,csd_VUHHEM,5309,5309,600.404946501134
ringointel,csd_QUDRIQ,10000,10000,361.3808054830879
ringointel,csd_YUYYEW,10000,10000,217.0791988079436
ringointel,csd_MUCYIT,7806,7806,600.1411124491133
ringointel,pdb_1PFE,3592,3592,600.6688390960917
ringointel,pdb_1A7X,2212,2212,600.518387706019
ringointel,csd_HEBLIJ,3087,3087,601.1014734469354
ringointel,csd_HIKPAS01,14877,10000,133.24102590908296
ringointel,csd_FINWEE10,3282,3282,600.4013200928457
ringointel,pdb_1JFF,3880,3880,600.4389352148864
ringointel,csd_CIYLAY,1069,1069,612.3370518588927
ringointel,pdb_3M6G,7072,7072,600.4114491678774
ringointel,csd_WENFOL,3186,3186,600.7296274271794
ringointel,csd_POXTRD10,10000,10000,92.99432357610203
ringointel,csd_HAXMOI10,170,170,605.1387813109905
ringointel,pdb_3KEE,7008,7008,600.3836350569036
ringointel,pdb_1OSF,9691,9691,600.2991613268387
ringointel,pdb_1QZ5,1116,1116,600.7277337829582
ringointel,csd_QEKNID,1884,1884,600.6492581120692
ringointel,pdb_2XBK,5747,5747,600.432069316972
ringointel,pdb_1QZ6,6753,6753,600.5587541968562
ringointel,pdb_1NMK,10000,10000,479.4457246691454
ringointel,csd_BIHYAS10,10000,10000,451.00262000993825
ringointel,pdb_2VYP,118,118,603.0476945529226
ringointel,csd_CAZVEF,10000,10000,380.82500151498243
ringointel,csd_OHIDUE,9863,9863,600.6298112040386
ringointel,csd_RUQVAB,10000,10000,260.50003298185766
ringointel,pdb_1EHL,1099815,389,600.2914422890171
ringointel,pdb_3I6O,10000,10000,589.8952907971106
ringointel,csd_WUMKIY,10000,10000,319.7927077161148
ringointel,pdb_2ASP,3086,3086,600.6619370311964
ringointel,csd_DIGTOC,9081,9081,600.664764450863
ringointel,pdb_1BZL,1153,1153,601.7962189188693
ringointel,pdb_2ASO,1905,1905,600.6726697830018
ringointel,pdb_2ASM,2725,2725,600.7460530009121
