testcase,Composition,Number of atoms,Number of heavy atoms,Number of bonds,Number of rotatable bonds,Number of cyclic rotatable bonds,Largest macrocycle size,Number of flexible cycles,Number of rigid cycles,Number of kinematic DOFs,Cyclomatic number (n_edges-n_atoms+1),Total charge
csd_OHIFAM,C34S2N8H48O6,98,50,102,50,36,24,1,4,24,5,0
csd_KAQJAN,S1C21O7H33N3,65,32,66,29,24,18,1,1,17,2,0
pdb_1NT1,C25N4Cl1H33O5,68,35,71,33,32,17,2,2,10,4,0
pdb_3DV1,H45O4C24N3,76,31,76,28,15,15,1,0,22,1,0
pdb_2VZM,H48C28N1O7,84,36,85,34,20,14,2,0,21,2,1
pdb_3DV5,H50O3C29N3,85,35,86,34,22,16,1,1,22,2,1
csd_GIHKOX10,H75C49N7O15,146,71,147,62,28,22,1,1,49,2,0
pdb_1QPL,H76O13C52N2,143,67,148,68,46,21,4,1,32,6,0
csd_CHPSAR,H35O7C21N7,70,35,70,28,21,21,1,0,22,1,0
csd_GAFSEL,H32O6C18N4,60,28,60,24,22,22,1,0,18,1,0
csd_ACICOE,C38S4N8H60O12,122,62,124,56,30,24,1,2,40,3,0
pdb_1QPF,H78O12C53N2,145,67,150,68,46,21,4,1,32,6,0
csd_PAPGAP,H31O5C24N5,65,34,68,32,29,15,1,3,10,4,0
csd_BIDPIN10,H40C29O9,78,38,82,40,33,18,1,2,15,5,0
csd_VAKPIH,S1C43O6H48N4,102,54,107,54,44,23,1,5,19,6,0
csd_VALINM30,H90C54N6O18,168,78,168,66,36,36,1,0,60,1,0
csd_CYVIHV10,H60O8C34N4,106,46,106,40,18,18,1,0,34,1,0
pdb_1ESV,S1C22N1H31O5,60,29,62,29,25,16,2,1,9,3,0
pdb_1TPS,S1C45O16H72N10,144,72,146,63,29,19,2,1,45,3,0
pdb_3ABA,H56C35O9,100,44,100,43,28,28,1,0,31,1,0
pdb_1NSG,H81C52N1O13,147,66,150,64,44,29,4,0,36,4,0
csd_COHVAW,H32C24O9,65,33,66,30,14,10,1,1,16,2,0
csd_CALSAR,H25O5C15N5,50,25,50,20,15,15,1,0,14,1,0
csd_DEKSAN,H111O12C62N11,196,85,196,74,33,33,1,0,67,1,0
csd_ZAJDUJ,S1C64N11H113O12,201,88,201,76,33,33,1,0,69,1,0
pdb_2QZK,H32C34N3O3,72,40,76,41,36,16,1,4,11,5,1
pdb_1WUA,H103C59N3O14,179,76,179,71,24,24,1,0,60,1,2
pdb_1SKX,H49O12C38N1,100,51,103,51,33,24,1,1,27,4,0
pdb_1KEG,C40P3O26H50N8,127,77,135,72,52,16,0,9,20,9,-3
csd_CIYKUR,H45O6C36N9,96,51,102,51,48,27,4,3,9,7,0
pdb_2C7X,H48C28N1O7,84,36,85,34,20,14,2,0,21,2,1
pdb_3EKS,H37C30N1O6,74,37,77,37,26,11,1,2,12,4,0
pdb_1BXO,C30P1N4H46O9,90,44,91,38,19,15,1,1,26,2,-1
csd_AAGGAG10,H24C15N6O6,51,27,51,21,18,18,1,0,15,1,0
csd_IDIMAJ,C41S1N7H49O6,104,55,110,56,47,21,1,6,18,7,0
pdb_1MRL,S1C34O9H59N4,107,48,109,45,30,23,1,2,29,3,1
pdb_2WEA,C29P1O7H32N2,71,39,74,37,26,12,1,3,14,4,-1
csd_FIXYEQ,C28Br1O6H40N3,78,38,79,34,24,18,1,1,21,2,0
csd_CAMVES01,H34C22N6O6,68,34,70,30,26,18,1,2,14,3,0
pdb_3BXR,H51O7C37N5,100,49,103,47,37,16,2,2,23,4,0
csd_VUHHEM,S2C24O8H38N4,76,38,77,33,21,17,1,1,23,2,0
csd_QUDRIQ,H42C24N6O3,75,33,78,33,33,21,1,3,12,4,0
csd_YUYYEW,H26C19N4O4,53,27,54,25,22,17,1,1,13,2,0
csd_MUCYIT,H31C22N5O5,63,32,64,28,21,15,1,1,16,2,0
pdb_1PFE,S2C50N12H62O12,138,76,143,71,52,17,2,4,37,6,0
pdb_1A7X,H76C51N2O14,143,67,147,66,42,21,4,1,34,5,0
csd_HEBLIJ,H58O10C36N6,110,52,112,46,32,24,1,2,30,3,0
csd_HIKPAS01,H22C17O5,44,22,45,21,14,10,1,1,7,2,0
csd_FINWEE10,H69O12C44N1,126,57,129,56,36,21,4,0,29,4,0
pdb_1JFF,H51C47N1O14,113,62,119,62,38,8,0,6,24,7,0
csd_CIYLAY,H51C36N9,96,45,102,51,48,27,4,3,9,7,0
pdb_3M6G,H68C42O12,122,54,125,56,33,20,2,2,32,4,0
csd_WENFOL,H56C36N12O6,110,54,112,50,36,24,1,2,32,3,0
csd_POXTRD10,H16C10N2O6,34,18,34,15,15,15,1,0,9,1,0
csd_HAXMOI10,H82C50N10O16,158,76,160,66,42,32,3,0,48,3,0
pdb_3KEE,S2C38O7H47N5,99,52,105,53,39,14,1,6,19,7,0
pdb_1OSF,H49C32N4O8,93,44,94,41,23,19,1,1,26,2,1
pdb_1QZ5,H75C48N5O14,142,67,145,68,34,25,1,3,45,4,0
csd_QEKNID,H79C51N1O13,144,65,147,63,44,29,4,0,35,4,0
pdb_2XBK,H47C33N1O12,93,46,95,45,34,24,3,0,21,3,0
pdb_1QZ6,H62C44N4O13,123,61,126,60,34,25,1,3,37,4,0
pdb_1NMK,H56C39N4O10,109,53,111,50,32,22,2,1,29,3,0
csd_BIHYAS10,H49C30N5O7,91,42,92,37,23,19,1,1,25,2,0
pdb_2VYP,H124C78N4O22,228,104,230,100,44,38,1,2,78,3,0
csd_CAZVEF,H20O4C12N4,40,20,40,16,16,16,1,0,10,1,0
csd_OHIDUE,C33S2N8H46O6,95,49,99,49,36,24,1,4,23,5,0
csd_RUQVAB,H31O4C28N5,68,37,72,37,32,12,1,3,10,5,0
pdb_1EHL,C20P1O12H26N4,63,37,67,36,30,16,0,5,6,5,-1
pdb_3I6O,S1C32O9H40N2,84,44,88,45,33,13,1,3,16,5,0
csd_WUMKIY,S1C28O5H43N1,78,35,79,34,21,16,1,1,21,2,0
pdb_2ASP,H84C51O12,147,63,148,61,30,26,1,1,45,2,0
csd_DIGTOC,H69C41N1O8,119,50,121,49,35,28,1,2,31,3,0
pdb_1BZL,S2C27O10H48N9,96,48,96,38,24,24,1,0,32,1,1
pdb_2ASO,H85C53N1O14,153,68,154,65,30,26,1,1,48,2,0
pdb_2ASM,H87C54N1O13,155,68,156,65,30,26,1,1,48,2,0
csd_TERDAW,H52O12C32N4,100,48,100,40,24,24,1,0,34,1,0
csd_VOKBIG,H102O18C60N6,186,84,186,72,36,36,1,0,66,1,0
csd_YAGVEH,S3C36O5H52N8,104,52,108,51,37,24,1,4,25,5,0
csd_RECRAT,H31C29N5O6,71,40,74,39,33,19,1,3,15,4,0
csd_NUCZUH,H58O8C44N8,118,60,123,58,45,21,1,4,26,6,0
csd_XACJAM,H49C43N5O7,104,55,108,54,39,15,1,4,24,5,0
pdb_1GHG,C53N8Cl2H49O17,129,80,136,76,57,16,3,5,28,8,-1
