testcase,Composition,Number of atoms,Number of heavy atoms,Number of bonds,Number of rotatable bonds,Number of cyclic rotatable bonds,Largest macrocycle size,Number of kinematic DOFs,Cyclomatic number (n_edges-n_atoms+1),Total charge
csd_OHIFAM,C34H48S2N8O6,98,50,102,50,36,24,24,5,0
csd_KAQJAN,C21H33S1N3O7,65,32,66,29,24,18,17,2,0
pdb_1NT1,C25H33N4O5Cl1,68,35,71,33,32,17,10,4,0
pdb_3DV1,N3C24O4H45,76,31,76,28,15,15,22,1,0
pdb_2VZM,N1C28O7H48,84,36,85,34,20,14,21,2,1
pdb_3DV5,N3C29O3H50,85,35,86,34,22,16,22,2,1
csd_GIHKOX10,N7C49O15H75,146,71,147,62,28,22,49,2,0
pdb_1QPL,N2C52O13H76,143,67,148,68,46,21,32,6,0
csd_CHPSAR,N7C21O7H35,70,35,70,28,21,21,22,1,0
csd_GAFSEL,N4C18O6H32,60,28,60,24,22,22,18,1,0
csd_ACICOE,C38H60S4N8O12,122,62,124,56,30,24,40,3,0
pdb_1QPF,N2C53O12H78,145,67,150,68,46,21,32,6,0
csd_PAPGAP,N5C24O5H31,65,34,68,32,29,15,10,4,0
csd_BIDPIN10,C29O9H40,78,38,82,40,33,18,15,5,0
csd_VAKPIH,C43H48S1N4O6,102,54,107,54,44,23,19,6,0
csd_VALINM30,N6C54O18H90,168,78,168,66,36,36,60,1,0
csd_CYVIHV10,N4C34O8H60,106,46,106,40,18,18,34,1,0
pdb_1ESV,C22H31S1N1O5,60,29,62,29,25,16,9,3,0
pdb_1TPS,C45H72S1N10O16,144,72,146,63,29,19,45,3,0
pdb_3ABA,C35O9H56,100,44,100,43,28,28,31,1,0
pdb_1NSG,N1C52O13H81,147,66,150,64,44,29,36,4,0
csd_COHVAW,C24O9H32,65,33,66,30,14,10,16,2,0
csd_CALSAR,N5C15O5H25,50,25,50,20,15,15,14,1,0
csd_DEKSAN,N11C62O12H111,196,85,196,74,33,33,67,1,0
csd_ZAJDUJ,C64H113S1N11O12,201,88,201,76,33,33,69,1,0
pdb_2QZK,N3C34O3H32,72,40,76,41,36,16,11,5,1
pdb_1WUA,N3C59O14H103,179,76,179,71,24,24,60,1,2
pdb_1SKX,N1C38O12H49,100,51,103,51,33,24,27,4,0
pdb_1KEG,C40P3H50N8O26,127,77,135,72,52,16,20,9,-3
csd_CIYKUR,N9C36O6H45,96,51,102,51,48,27,9,7,0
pdb_2C7X,N1C28O7H48,84,36,85,34,20,14,21,2,1
pdb_3EKS,N1C30O6H37,74,37,77,37,26,11,12,4,0
pdb_1BXO,C30P1H46N4O9,90,44,91,38,19,15,26,2,-1
csd_AAGGAG10,N6C15O6H24,51,27,51,21,18,18,15,1,0
csd_IDIMAJ,C41H49S1N7O6,104,55,110,56,47,21,18,7,0
pdb_1MRL,C34H59S1N4O9,107,48,109,45,30,23,29,3,1
pdb_2WEA,C29P1H32N2O7,71,39,74,37,26,12,14,4,-1
csd_FIXYEQ,C28Br1H40N3O6,78,38,79,34,24,18,21,2,0
csd_CAMVES01,N6C22O6H34,68,34,70,30,26,18,14,3,0
pdb_3BXR,N5C37O7H51,100,49,103,47,37,16,23,4,0
csd_VUHHEM,C24H38S2N4O8,76,38,77,33,21,17,23,2,0
csd_QUDRIQ,N6C24O3H42,75,33,78,33,33,21,12,4,0
csd_YUYYEW,N4C19O4H26,53,27,54,25,22,17,13,2,0
csd_MUCYIT,N5C22O5H31,63,32,64,28,21,15,16,2,0
pdb_1PFE,C50H62S2N12O12,138,76,143,71,52,17,37,6,0
pdb_1A7X,N2C51O14H76,143,67,147,66,42,21,34,5,0
csd_HEBLIJ,N6C36O10H58,110,52,112,46,32,24,30,3,0
csd_HIKPAS01,C17O5H22,44,22,45,21,14,10,7,2,0
csd_FINWEE10,N1C44O12H69,126,57,129,56,36,21,29,4,0
pdb_1JFF,N1C47O14H51,113,62,119,62,38,8,24,7,0
csd_CIYLAY,N9C36H51,96,45,102,51,48,27,9,7,0
pdb_3M6G,C42O12H68,122,54,125,56,33,20,32,4,0
csd_WENFOL,N12C36O6H56,110,54,112,50,36,24,32,3,0
csd_POXTRD10,N2C10O6H16,34,18,34,15,15,15,9,1,0
csd_HAXMOI10,N10C50O16H82,158,76,160,66,42,32,48,3,0
pdb_3KEE,C38H47S2N5O7,99,52,105,53,39,14,19,7,0
pdb_1OSF,N4C32O8H49,93,44,94,41,23,19,26,2,1
pdb_1QZ5,N5C48O14H75,142,67,145,68,34,25,45,4,0
csd_QEKNID,N1C51O13H79,144,65,147,63,44,29,35,4,0
pdb_2XBK,N1C33O12H47,93,46,95,45,34,24,21,3,0
pdb_1QZ6,N4C44O13H62,123,61,126,60,34,25,37,4,0
pdb_1NMK,N4C39O10H56,109,53,111,50,32,22,29,3,0
csd_BIHYAS10,N5C30O7H49,91,42,92,37,23,19,25,2,0
pdb_2VYP,N4C78O22H124,228,104,230,100,44,38,78,3,0
csd_CAZVEF,N4C12O4H20,40,20,40,16,16,16,10,1,0
csd_OHIDUE,C33H46S2N8O6,95,49,99,49,36,24,23,5,0
csd_RUQVAB,N5C28O4H31,68,37,72,37,32,12,10,5,0
pdb_1EHL,C20P1H26N4O12,63,37,67,36,30,16,6,5,-1
pdb_3I6O,C32H40S1N2O9,84,44,88,45,33,13,16,5,0
csd_WUMKIY,C28H43S1N1O5,78,35,79,34,21,16,21,2,0
pdb_2ASP,C51O12H84,147,63,148,61,30,26,45,2,0
csd_DIGTOC,N1C41O8H69,119,50,121,49,35,28,31,3,0
pdb_1BZL,C27H48S2N9O10,96,48,96,38,24,24,32,1,1
pdb_2ASO,N1C53O14H85,153,68,154,65,30,26,48,2,0
pdb_2ASM,N1C54O13H87,155,68,156,65,30,26,48,2,0
csd_TERDAW,N4C32O12H52,100,48,100,40,24,24,34,1,0
csd_VOKBIG,N6C60O18H102,186,84,186,72,36,36,66,1,0
csd_YAGVEH,C36H52S3N8O5,104,52,108,51,37,24,25,5,0
csd_RECRAT,N5C29O6H31,71,40,74,39,33,19,15,4,0
csd_NUCZUH,N8C44O8H58,118,60,123,58,45,21,26,6,0
csd_XACJAM,N5C43O7H49,104,55,108,54,39,15,24,5,0
pdb_1GHG,C53H49N8O17Cl2,129,80,136,76,57,16,28,8,-1
pdb_1XBP,C28H48S1N1O4,82,34,84,34,16,8,17,3,1
pdb_1YND,N5C60O13H91,169,78,173,76,44,22,42,5,0
csd_ICYSPA,C62H110I1N11O12,196,86,197,75,38,33,64,2,0
csd_XAGXIN,N4C18O2H28,52,24,53,23,21,17,11,2,0
csd_FAGFEZ,C30H44S2N8O8,92,48,94,44,30,24,28,3,0
csd_YIVNOG,N10C40O4H62,116,54,120,54,50,30,24,5,0
csd_REMCOC,N1C27O5H29,62,33,65,34,29,17,9,4,0
pdb_1KHR,N3C28O7H33,71,38,73,36,30,23,17,3,0
csd_VOLHOU,N9C26O5H37,77,40,79,38,28,16,20,3,0
pdb_1E9W,C72H86S5N19O18,200,114,209,111,77,27,53,10,1
csd_CTVHVH01,N6C60O18H102,186,84,186,72,36,36,66,1,0
csd_CGPGAP10,N5C17O5H25,52,27,54,24,23,15,8,3,0
csd_QOSNAN,C32H42S1N8O9,92,50,96,47,40,18,20,5,0
pdb_2IYA,N1C35O12H62,110,48,113,49,29,14,28,4,1
pdb_1S22,N3C37O10H49,99,50,102,50,34,25,27,4,0
pdb_1NTK,N2C27O9H37,75,38,76,33,15,9,21,2,-1
pdb_2DG4,N1C51O13H79,144,65,147,63,44,29,35,4,0
pdb_2IYF,N1C37O13H67,118,51,120,51,26,14,33,3,0
csd_JINWUZ,N4C31O9H46,90,44,91,39,24,18,27,2,0
pdb_2F3E,C31H55S2N5O7,100,45,100,40,15,15,33,1,0
pdb_2F3F,C24H43S2N4O4,77,34,78,32,20,15,19,2,1
pdb_1FKD,N1C43O13H69,126,57,129,56,36,21,30,4,0
pdb_2OTJ,C32O10H50,92,42,93,39,21,18,28,2,0
pdb_1FKL,N1C51O13H79,144,65,147,63,44,29,35,4,0
pdb_1FKI,N1C24O6H39,70,31,71,28,26,21,16,2,0
csd_CLPGDH,N6C34O6H46,92,46,94,42,30,18,24,3,0
pdb_1FKJ,N1C44O12H69,126,57,129,56,36,21,29,4,0
csd_GEZBUI,N5C30O7H51,93,42,94,37,23,19,26,2,0
csd_KAQJER,C25H41S1N3O7,77,36,78,33,24,18,21,2,0
csd_WUBGAB,N4C36O12H60,112,52,112,44,24,24,38,1,0
csd_ABOJOR,N5C29O12H27,73,46,76,41,39,25,17,4,0
pdb_2PH8,C24H34S1N3O4,66,32,68,31,24,16,13,3,1
csd_QUDROW,N6C27O3H48,84,36,87,36,36,24,15,4,0
csd_RULSUN,N1C43O12H67,123,56,126,55,36,21,29,4,0
csd_DAFGIA,N4C32O2H28,66,38,70,40,38,16,8,5,0
csd_CUQRUB,N11C64O13H113,201,88,201,76,33,33,69,1,0
pdb_1XS7,N6C38O8H62,114,52,115,47,22,16,35,2,0
csd_LALWIF,N6C22O4H22,54,32,58,32,32,16,4,5,0
csd_XAGXOT,N4C22O2H36,64,28,65,27,19,15,15,2,0
csd_JOKSAD,C16O4H28,48,20,48,19,16,16,12,1,0
csd_CAHWEN,N6C34O6H46,92,46,94,42,30,18,24,3,0
csd_MECBOL,N4C13O3H26,46,20,46,18,16,16,12,1,0
csd_DALPUC,N6C31O6H40,83,43,85,39,30,18,21,3,0
csd_NITFEB,C20O5H32,57,25,57,23,16,16,15,1,0
csd_YAGKOG,N8C60O12H92,172,80,175,74,43,27,51,4,0
pdb_2C6H,N1C25O6H44,76,32,77,31,18,12,18,2,1
pdb_2GPL,N6C33O9H36,84,48,87,44,30,17,20,4,0
pdb_1PKF,C27H43S1N1O5,77,34,78,33,21,16,21,2,0
pdb_1PPJ,N2C26O9H36,73,37,74,33,15,9,21,2,0
pdb_1YXQ,C78O20H134,232,98,236,100,60,40,66,5,0
csd_RASTIO,N2C16O10H22,50,28,50,22,18,18,16,1,0
pdb_3K5C,N3C35O4H45,87,42,91,45,33,16,18,5,0
csd_MALVAL10,N6C38O10H66,120,54,120,46,24,24,40,1,0
pdb_2WHW,N1C21O3H42,67,25,68,26,19,13,14,2,1
csd_ABOMOT,N14C56O18H62,150,88,156,76,62,30,36,7,0
csd_DACMAW,N5C34O11H45,95,50,98,48,34,18,25,4,0
pdb_1YET,N2C29O9H40,80,40,81,37,23,19,22,2,0
csd_MIWTER,N5C37O7H57,106,49,108,45,29,19,28,3,0
pdb_7UPJ,C27H29S1N1O5,63,34,67,35,28,8,8,5,0
csd_YUPBAN01,N6C57O18H96,177,81,177,69,36,36,63,1,0
pdb_1NWX,N3C42O10H60,115,55,119,55,35,14,26,5,1
csd_FEGJAD,N5C33O5H43,86,43,89,41,31,15,18,4,0
csd_KIVDIC,N6C26O6H42,80,38,82,34,26,18,18,3,0
csd_XAGYAG,N4C25O2H36,67,31,69,31,25,17,14,3,0
csd_OHUXEU,N6C41O9H50,106,56,110,54,42,18,24,5,0
csd_CTILIH10,N6C60O18H102,186,84,186,72,36,36,66,1,0
csd_FIVSAE,N5C21O5H27,58,31,60,28,25,15,11,3,0
pdb_2Q0R,C47O14H68,129,61,137,67,56,26,18,9,0
